system:index,first,.geo
1_1_1_1_1_1_1_1_1_1_80,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.6586779751948,12.062816814809118]}"
1_1_1_1_1_1_1_1_1_1_81,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.7817210831811,14.027672726107108]}"
1_1_1_1_1_1_1_1_1_1_82,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.95028180535344,10.86008365103495]}"
1_1_1_1_1_1_1_1_1_1_83,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.3856822239704,9.528336381363394]}"
1_1_1_1_1_1_1_1_1_1_84,140.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.85216338745263,12.774672886102136]}"
1_1_1_1_1_1_1_1_1_1_85,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.85081102874094,13.726477980650893]}"
1_1_1_1_1_1_1_1_1_1_86,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.54310990079168,13.540877020933946]}"
1_1_1_1_1_1_1_1_1_1_87,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.1925182644594,10.07934658630627]}"
1_1_1_1_1_1_1_1_1_1_88,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.85288398571535,12.08073365801782]}"
1_1_1_1_1_1_1_1_1_1_89,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.3272612751684,11.016778450843603]}"
1_1_1_1_1_1_1_1_1_1_90,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.09445892681148,11.644788453074256]}"
1_1_1_1_1_1_1_1_1_1_91,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.48936407486185,10.489237896621958]}"
1_1_1_1_1_1_1_1_1_1_92,13.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.76622371452726,11.151151846262058]}"
1_1_1_1_1_1_1_1_1_1_93,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.6527168658089,10.606225491547924]}"
1_1_1_1_1_1_1_1_1_1_94,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.99350033874052,11.771144917885165]}"
1_1_1_1_1_1_1_1_1_1_95,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.67243295117412,14.05107025712308]}"
1_1_1_1_1_1_1_1_1_1_96,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.39768882116083,9.858683246796797]}"
1_1_1_1_1_1_1_1_1_1_97,70.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.35931068127485,10.801142571668484]}"
1_1_1_1_1_1_1_1_1_1_98,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.16531836020968,10.35454757886481]}"
1_1_1_1_1_1_1_1_1_1_99,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.07327631758851,11.30521335592903]}"
1_1_1_1_1_1_1_1_1_2_0,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.5770754686546,12.437504519052817]}"
1_1_1_1_1_1_1_1_1_2_1,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.06178652380565,14.069103288055542]}"
1_1_1_1_1_1_1_1_1_2_2,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.71717541035929,10.887749525813739]}"
1_1_1_1_1_1_1_1_1_2_3,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.07405398243597,12.559521812470184]}"
1_1_1_1_1_1_1_1_1_2_4,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.07502283266281,13.291320490311627]}"
1_1_1_1_1_1_1_1_1_2_5,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.10516297342276,11.963534075205171]}"
1_1_1_1_1_1_1_1_1_2_6,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.67094697117001,10.489980852737943]}"
1_1_1_1_1_1_1_1_1_2_7,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.56210540701542,14.09536868664156]}"
1_1_1_1_1_1_1_1_1_2_8,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.82481954940377,9.73503216256036]}"
1_1_1_1_1_1_1_1_1_2_9,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.00599310194485,12.467059707533954]}"
1_1_1_1_1_1_1_1_1_2_10,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.49910640396743,12.682488837612064]}"
1_1_1_1_1_1_1_1_1_2_11,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.14573513492404,10.376333696822154]}"
1_1_1_1_1_1_1_1_1_2_12,140.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.14969090767728,13.399451293967429]}"
1_1_1_1_1_1_1_1_1_2_13,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.00762976517636,11.345198235365721]}"
1_1_1_1_1_1_1_1_1_2_14,110.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.51336762091827,11.4787809900642]}"
1_1_1_1_1_1_1_1_1_2_15,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.44485018595171,9.202867406390286]}"
1_1_1_1_1_1_1_1_1_2_16,93.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.09909753144407,10.065864235751947]}"
1_1_1_1_1_1_1_1_1_2_17,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.2082763572228,9.668630319618783]}"
1_1_1_1_1_1_1_1_1_2_18,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.64225354098016,10.594010409679257]}"
1_1_1_1_1_1_1_1_1_2_19,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.3780626539798,12.425552939835054]}"
1_1_1_1_1_1_1_1_1_2_20,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.62596801468811,13.478588133607857]}"
1_1_1_1_1_1_1_1_1_2_21,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.3069780643579,11.264738278498074]}"
1_1_1_1_1_1_1_1_1_2_22,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.7103541355448,10.142080614061545]}"
1_1_1_1_1_1_1_1_1_2_23,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.02706183045036,11.310954243668148]}"
1_1_1_1_1_1_1_1_1_2_24,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.10888646334426,14.232510721142587]}"
1_1_1_1_1_1_1_1_1_2_25,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.91314085361826,14.047967853906695]}"
1_1_1_1_1_1_1_1_1_2_26,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.8219680004593,13.748594261660879]}"
1_1_1_1_1_1_1_1_1_2_27,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.72427141290538,10.770141563484492]}"
1_1_1_1_1_1_1_1_1_2_28,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.00503999491409,13.76871008682566]}"
1_1_1_1_1_1_1_1_1_2_29,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.44206701696598,13.985718546126973]}"
1_1_1_1_1_1_1_1_1_2_30,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.29803930169479,12.315734743848846]}"
1_1_1_1_1_1_1_1_1_2_31,190.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.14380464987069,9.656440291388634]}"
1_1_1_1_1_1_1_1_1_2_32,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.24070734883459,11.113562042207771]}"
1_1_1_1_1_1_1_1_1_2_33,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.02894539856749,13.706537077849301]}"
1_1_1_1_1_1_1_1_1_2_34,143.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.33018065692764,10.05588654460856]}"
1_1_1_1_1_1_1_1_1_2_35,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.9103636527257,10.14725388675956]}"
1_1_1_1_1_1_1_1_1_2_36,140.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.78137071702612,12.527338843165815]}"
1_1_1_1_1_1_1_1_1_2_37,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.11378159021191,12.410574722346087]}"
1_1_1_1_1_1_1_1_1_2_38,140.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.20295301464625,12.47592031195085]}"
1_1_1_1_1_1_1_1_1_2_39,40.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.34009770542147,11.18362620443141]}"
