Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
176	0.0118593	0.0006804	0.0000215	0.0006582	0.0000006	
177	0.0695172	0.0181227	0.0007390	0.0173838	0.0000000	
178	0.0054066	0.0003587	0.0000045	0.0003542	0.0000000	
179	0.1022343	0.0074501	0.0015982	0.0051024	0.0007494	
180	0.0894565	0.0060746	0.0012237	0.0047552	0.0000956	
181	0.0552028	0.0034975	0.0004660	0.0030281	0.0000033	
182	0.2304141	0.0428156	0.0081182	0.0333455	0.0013519	
183	0.0167753	0.0011023	0.0000430	0.0010593	0.0000000	
184	0.0478047	0.0333468	0.0003494	0.0144250	0.0185723	
185	0.0047836	0.0019138	0.0000035	0.0015511	0.0003592	
186	0.0067224	0.0021915	0.0000069	0.0021846	0.0000000	
187	0.0952249	0.0623928	0.0013866	0.0401574	0.0208488	
188	0.0244839	0.0111841	0.0000917	0.0110925	0.0000000	
189	0.4987359	0.2642308	0.0380350	0.1810212	0.0451746	
190	0.0182455	0.0094874	0.0000509	0.0094365	0.0000000	
191	0.0037790	0.0015507	0.0000022	0.0015485	0.0000000	
192	0.0940196	0.1216761	0.0013517	0.0505594	0.0697650	
193	0.0659818	0.0264616	0.0006657	0.0257959	0.0000000	
194	1.2360500	0.5892923	0.2336225	0.3103959	0.0452738	
195	0.2695163	0.1690644	0.0111074	0.1351698	0.0227871	
196	0.0166027	0.0157521	0.0000421	0.0076672	0.0080427	
197	0.0066213	0.0026266	0.0000067	0.0026199	0.0000000	
198	0.0363958	0.0065987	0.0002026	0.0063962	0.0000000	
199	0.1521912	0.0713421	0.0035418	0.0600143	0.0077860	
200	0.0105290	0.0031962	0.0000170	0.0021587	0.0010205	
201	0.0046538	0.0024419	0.0000033	0.0013300	0.0011085	
202	0.0170991	0.0091545	0.0000447	0.0064357	0.0026740	
203	0.0211697	0.0109108	0.0000685	0.0108423	0.0000000	
204	0.1138692	0.0574517	0.0019827	0.0478042	0.0076648	
205	0.1167537	0.0950834	0.0020844	0.0548146	0.0381844	
206	0.0141911	0.0076758	0.0000308	0.0076450	0.0000000	
207	0.3521889	0.2147076	0.0189668	0.1610302	0.0347106	
208	0.0241398	0.0085902	0.0000891	0.0085011	0.0000000	
209	1.0081640	0.4527892	0.1554193	0.2607686	0.0366013	
210	0.0199424	0.0057586	0.0000608	0.0034257	0.0022720	
211	0.0576824	0.0263034	0.0005088	0.0192505	0.0065441	
212	0.0391577	0.0122402	0.0002345	0.0120034	0.0000023	
213	0.0863619	0.0208535	0.0011405	0.0136737	0.0060393	
214	0.4786185	0.1211217	0.0350285	0.0758401	0.0102530	
215	0.0300890	0.0033690	0.0001384	0.0032305	0.0000000	
216	0.0211895	0.0051227	0.0000687	0.0050540	0.0000000	
217	0.0202156	0.0044071	0.0000625	0.0040181	0.0003265	
218	0.2891346	0.1212119	0.0127833	0.0783528	0.0300758	
219	0.0359239	0.0136565	0.0001973	0.0124311	0.0010280	
