"Node","dA","dPC","dPCintra","dPCflux","dPCconnector","Component","BC"
272,0.1535447,0.0352175,0.009119,0.0260986,0,146,0
273,0.4315068,0.0746833,0.0720198,0.0026586,4.9e-06,144,0
274,0.0789305,0.003763,0.0024097,0.0013533,0,142,0
275,0.1980989,0.0151789,0.0151789,0,0,147,0
276,0.0595812,0.0032738,0.0013731,0.0017754,0.0001252,144,1.12e-05
277,0.0869355,0.0039995,0.0029233,0.0010475,2.87e-05,141,0
278,0.1306247,0.0068331,0.0065997,0.0002334,0,148,0
279,0.044556,0.0007939,0.0007679,2.6e-05,0,149,0
280,0.0096277,3.6e-05,3.59e-05,1e-07,0,150,0
281,0.0271693,0.0003003,0.0002855,1.47e-05,0,151,0
