Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
717	0.0031407	0.0003538	0.0000046	0.0003492	0.0000000	
718	0.0051036	0.0026417	0.0000120	0.0026297	0.0000000	
719	0.0043280	0.0044094	0.0000087	0.0044008	0.0000000	
720	0.1967485	0.0215397	0.0178808	0.0036589	0.0000000	
721	0.0086700	0.0068018	0.0000347	0.0067671	0.0000000	
722	0.1228936	0.0071694	0.0069762	0.0001931	0.0000000	
723	0.0049818	0.0000281	0.0000115	0.0000156	0.0000010	
724	0.0187145	0.0001768	0.0001618	0.0000150	0.0000000	
725	0.0075607	0.0000289	0.0000264	0.0000025	0.0000000	
726	0.0028722	0.0000230	0.0000038	0.0000146	0.0000046	
727	0.1099457	0.0532162	0.0055837	0.0476325	0.0000000	
728	0.0011270	0.0000104	0.0000006	0.0000098	0.0000000	
729	0.1937490	0.0177476	0.0173397	0.0004079	0.0000000	
730	0.0973979	0.0065055	0.0043819	0.0021204	0.0000032	
731	6.1864220	17.9466000	17.6783700	0.2674430	0.0007874	
732	0.2682190	0.0353476	0.0332309	0.0021167	0.0000000	
